PATIENT,FIRST_CANCER_DATE,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,AGE,AGE_AT_DIAGNOSIS,ENCOUNTER_COUNT,LAST_ENCOUNTER_DATE,FOLLOWUP_YEARS,MEDICATION_VALIDATED,PROCEDURE_VALIDATED,VALIDATED_COHORT,VALIDATION_SCORE,PHENOTYPE_CONFIDENCE
000eba84-0d5c-2657-0b5e-0c70f2f746c2,1989-06-03,000eba84-0d5c-2657-0b5e-0c70f2f746c2,1929-04-06,,999-18-7950,S99957211,X41011359X,Mr.,Boyce638,Johns824,,,M,white,nonhispanic,M,West Springfield  Massachusetts  US,902 Dibbert Common Apt 67,Dighton,Massachusetts,Bristol County,,41.798909672045546,-71.19670412575947,3008310.920000001,297474.45000000007,93.60164271047228,60.158795345653665,140,2022-01-09 01:41:09,32.602327173169066,False,False,False,1,Low Confidence
001209d3-9cd3-a700-69ea-c9982213efea,1989-02-04,001209d3-9cd3-a700-69ea-c9982213efea,1926-11-27,1992-10-22,999-74-9899,S99912221,X44113995X,Mr.,Michale231,Macejkovic424,,,M,black,nonhispanic,M,Sharon  Massachusetts  US,295 Wintheiser Throughway Suite 65,Swampscott,Massachusetts,Essex County,,42.463916472064085,-70.87993438118677,1670532.6325000003,191566.07749999996,95.95893223819301,62.19028062970568,48,1992-10-24 23:59:41,3.7180013689253935,True,True,True,3,High Confidence
00553b46-47fb-e90c-ce55-c26b8ddc6de9,2009-04-01,00553b46-47fb-e90c-ce55-c26b8ddc6de9,1932-08-23,,999-99-2906,S99952781,X61422441X,Mr.,Graham902,Senger904,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,193 Bosco Rapid Suite 19,Fitchburg,Massachusetts,Worcester County,,42.58283998166588,-71.86066135209384,13145202.682499995,151838.77750000003,90.22039698836413,76.6050650239562,435,2022-01-18 22:39:55,12.799452429842573,False,False,False,1,Low Confidence
005ca8f0-e643-f614-fd0a-3872463aaacc,2014-01-24,005ca8f0-e643-f614-fd0a-3872463aaacc,1945-09-18,,999-37-2166,S99998188,X20204168X,Mrs.,Juliette736,Jacobson885,MD,Ledner144,M,white,nonhispanic,F,Cambridge  Massachusetts  US,207 Lesch Crossing,Boston,Massachusetts,Suffolk County,2134.0,42.29526425189046,-71.10249954639595,1322755.9114999997,137638.87850000005,77.14989733059548,68.3504449007529,86,2022-01-21 02:13:48,7.991786447638604,True,True,True,3,High Confidence
00626e2c-3fbf-3ee4-1f32-ea31daa4e72f,2011-11-16,00626e2c-3fbf-3ee4-1f32-ea31daa4e72f,1930-10-12,2014-02-22,999-28-9417,S99926467,X3694689X,Ms.,Milda157,Haley279,,,S,white,nonhispanic,F,East Harwich  Massachusetts  US,700 Donnelly Trace,Brookline,Massachusetts,Norfolk County,2446.0,42.27903501855677,-71.15958806487643,2950067.5805000006,350315.1595000003,92.0848733744011,81.09514031485284,181,2014-02-24 01:48:27,2.2751540041067764,True,True,True,3,High Confidence
0065abd3-f0c2-b223-5ed1-34c3f4f92da0,2018-07-05,0065abd3-f0c2-b223-5ed1-34c3f4f92da0,1943-06-25,,999-85-7402,S99959057,X82090477X,Mr.,Hank686,Schinner682,,,M,white,nonhispanic,M,Winchendon  Massachusetts  US,932 Dietrich Glen Unit 51,Brockton,Massachusetts,Plymouth County,2301.0,42.07951951640312,-70.94836763630352,2010258.7615000005,87791.83850000001,79.38398357289527,75.0280629705681,41,2021-12-04 06:51:42,3.4168377823408624,False,True,True,2,Moderate Confidence
00675be4-5ecf-2663-39a8-9cb882cdba46,1999-12-26,00675be4-5ecf-2663-39a8-9cb882cdba46,1928-09-01,2004-04-23,999-65-8026,S99954194,X89637541X,Mr.,Jacob959,Barton704,,,M,white,nonhispanic,M,Westfield  Massachusetts  US,674 Kirlin Parade Apt 60,Milford,Massachusetts,Worcester County,,42.17770451663005,-71.56320698104666,1793335.285,57750.19500000001,94.19575633127995,71.31553730321697,51,2004-04-24 11:55:30,4.328542094455853,False,True,True,2,Moderate Confidence
007b9335-08e2-c478-a79a-d9d4b6e88f62,1981-01-30,007b9335-08e2-c478-a79a-d9d4b6e88f62,1926-01-19,1985-08-31,999-69-5061,S99978072,X82157161X,Mr.,Bryon392,Wiegand701,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,404 Hilll Haven,West Bridgewater,Massachusetts,Plymouth County,,42.06337088489108,-71.02426390730062,1759467.2199999988,6812.250000000001,96.81314168377824,55.030800821355236,39,1985-09-04 04:23:09,4.594113620807666,True,True,True,3,High Confidence
00a23ad1-3152-9bfe-5d47-be871da19e95,1987-02-19,00a23ad1-3152-9bfe-5d47-be871da19e95,1924-10-23,1991-05-12,999-64-4692,S99965259,X15821851X,Mr.,Sang383,Hegmann834,,,M,white,nonhispanic,M,Boston  Massachusetts  US,980 Kutch Viaduct Apt 99,Great Barrington,Massachusetts,Berkshire County,,42.21022727422496,-73.32615787314454,1648346.0525,79843.07750000012,98.05338809034907,62.32443531827516,92,1991-05-17 00:14:19,4.238193018480493,False,True,True,2,Moderate Confidence
00c19203-0e41-6727-9f72-0ff7e32e2147,1997-01-10,00c19203-0e41-6727-9f72-0ff7e32e2147,1932-10-21,,999-80-2978,S99991140,X77808876X,Mr.,Jayson808,Lakin515,,,M,white,nonhispanic,M,Boston  Massachusetts  US,1006 Walker Fort,Malden,Massachusetts,Middlesex County,2155.0,42.41169436086421,-71.15215753571071,1780170.4895,106713.8305,90.05886379192334,64.22176591375771,63,2021-05-29 00:49:55,24.380561259411362,False,False,False,1,Low Confidence
